"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",3536,0.0112842166569598,237,39.8897058823529,71,26
"2",3536,0.0107085256036916,190,37.8546380090498,68,25
"3",3536,0.0121399130863313,230,42.914592760181,79,23
"4",3536,0.0100113922187306,192,35.3902714932127,63,29
"5",3536,0.0101934757147337,189,36.0339366515837,74,19
"6",3536,0.0106414843164989,229,37.6176470588235,72,24
"7",3536,0.00959586424059342,202,33.9213800904977,64,18
"8",3536,0.0113403777352525,215,40.0882352941176,66,29
"9",3536,0.0110115714221713,217,38.9259049773756,76,29
"10",3536,0.0110186115573419,201,38.9507918552036,69,17
