"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",3536,0.0111774946078965,202,39.512443438914,46,22,0.181920779275566
"2",3536,0.0108907691027668,187,38.4988687782805,38,19,0.180997181498313
"3",3536,0.0124490390215492,219,44.0073529411765,36,29,0.186956017046212
"4",3536,0.0121579934334739,210,42.9785067873303,47,21,0.16120479769567
"5",3536,0.0108075675052961,203,38.2047511312217,37,19,0.156329412273141
"6",3536,0.0116115829423925,190,41.0469457013575,49,20,0.176648265128957
"7",3536,0.0106195638956268,185,37.5401583710407,41,25,0.182555688808083
"8",3536,0.0107906071796579,188,38.1447963800905,47,36,0.157621491998973
"9",3536,0.0119066286072693,201,42.0899321266968,44,18,0.194576992054304
"10",3536,0.0118160668684839,202,41.7697963800905,52,20,0.18464351523478
