"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",10000,0.0122249224922492,674,122.237,45,46,0.171333057912714
"2",10000,0.0115812381238124,639,115.8008,32,47,0.177940875332183
"3",10000,0.0122812681268127,654,122.8004,46,34,0.182942091492914
"4",10000,0.0107554355435544,595,107.5436,41,34,0.174952724203056
"5",10000,0.0116833483348335,672,116.8218,39,40,0.165560971185862
"6",10000,0.0118847284728473,655,118.8354,39,56,0.17395157350649
"7",10000,0.01180200020002,659,118.0082,44,45,0.174068197800758
"8",10000,0.0123465346534653,674,123.453,47,31,0.175121021799391
"9",10000,0.0113292729272927,618,113.2814,40,35,0.181696474477057
"10",10000,0.0118131413141314,640,118.1196,43,35,0.177479011836448
