"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",3536,0.0123776776514109,233,43.7550904977376,72,31
"2",3536,0.0111914148751656,201,39.5616515837104,74,21
"3",3536,0.0124215184931551,261,43.9100678733032,68,23
"4",3536,0.0110222916279993,213,38.9638009049774,71,21
"5",3536,0.0125746414331155,234,44.4513574660633,74,17
"6",3536,0.0123437570001344,244,43.6351809954751,66,22
"7",3536,0.0125637612242155,227,44.4128959276018,74,19
"8",3536,0.0118767080327942,242,41.9841628959276,71,39
"9",3536,0.0114714202512688,206,40.5514705882353,67,23
"10",3536,0.0115437416398395,235,40.8071266968326,67,26
