"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",5000,0.00947229445889178,314,47.352,50,30,0.13854434359055
"2",5000,0.00889473894778956,300,44.4648,40,24,0.131092478290433
"3",5000,0.00886089217843569,276,44.2956,45,25,0.15532833549854
"4",5000,0.00987909581916383,296,49.3856,55,25,0.158382042394657
"5",5000,0.00889761952390478,293,44.4792,48,35,0.143624836488932
"6",5000,0.00996431286257251,315,49.8116,49,24,0.140809722105408
"7",5000,0.00955983196639328,285,47.7896,50,20,0.152751079981067
"8",5000,0.00795695139027805,259,39.7768,39,22,0.137448294331692
"9",5000,0.00898315663132626,285,44.9068,42,39,0.143539054508014
"10",5000,0.0100368873774755,309,50.1744,60,25,0.156299285669812
