"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",20000,0.00370138506925346,629,74.024,58,NA,0.107866215941074
"2",20000,0.00414728736436822,668,82.9416,61,NA,0.114777898075002
"3",20000,0.0039837191859593,654,79.6704,59,NA,0.105789964791707
"4",20000,0.00406398819940997,611,81.2757,69,NA,0.122915186016443
"5",20000,0.00368871443572179,587,73.7706,55,NA,0.117082108440245
"6",20000,0.0040896394819741,663,81.7887,70,NA,0.111769538123401
"7",20000,0.00377941897094855,627,75.5846,56,NA,0.115496226020562
"8",20000,0.00421213560678034,670,84.2385,70,NA,0.110200976118795
"9",20000,0.00403576678833942,634,80.7113,58,NA,0.114508957511978
"10",20000,0.00379198959947997,598,75.836,61,NA,0.116617368523746
