"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",10000,0.00465154515451545,392,46.5108,44,44,0.110154495949738
"2",10000,0.00447778777877788,385,44.7734,31,46,0.109450767778121
"3",10000,0.00461606160616062,405,46.156,36,35,0.10390021079201
"4",10000,0.00467562756275628,437,46.7516,33,44,0.0972868182649118
"5",10000,0.00474231423142314,385,47.4184,37,77,0.100745644102848
"6",10000,0.00472207220722072,364,47.216,40,46,0.123200765656091
"7",10000,0.00471331133113311,423,47.1284,42,39,0.103499776456104
"8",10000,0.00547104710471047,467,54.705,51,44,0.112527310415557
"9",10000,0.00467038703870387,380,46.6992,47,34,0.112480429917497
"10",10000,0.00476021602160216,388,47.5974,44,44,0.113460675119635
