"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",5000,0.0128058411682336,337,64.0164,54,25,0.169405998996206
"2",5000,0.0129048209641928,314,64.5112,56,26,0.194463759104073
"3",5000,0.0134234046809362,346,67.1036,61,39,0.182528194470684
"4",5000,0.0126124424884977,337,63.0496,61,24,0.16875494458261
"5",5000,0.0131102220444089,355,65.538,59,36,0.164917553914741
"6",5000,0.0128387277455491,314,64.1808,61,28,0.18026739995319
"7",5000,0.0134829365873175,337,67.4012,59,30,0.184989071044946
"8",5000,0.0127373474694939,321,63.674,62,30,0.180451920298981
"9",5000,0.0129768353670734,294,64.8712,63,25,0.215802845285315
"10",5000,0.0119651930386077,295,59.814,52,25,0.193338165349646
