"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",3536,0.0113195773358848,194,40.0147058823529,74,23
"2",3536,0.0107155657388622,195,37.8795248868778,67,22
"3",3536,0.0104462805685869,179,36.9276018099548,71,17
"4",3536,0.0109346099445109,206,38.6538461538462,70,27
"5",3536,0.011775586091253,217,41.6266968325792,75,21
"6",3536,0.0114795804079438,222,40.5803167420815,73,27
"7",3536,0.0122007142537137,201,43.1295248868778,85,22
"8",3536,0.0110875728813993,189,39.1945701357466,73,20
"9",3536,0.0109142895543594,211,38.5820135746606,70,19
"10",3536,0.0113858186077173,222,40.2488687782805,77,23
