"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",10000,0.00396141614161416,361,39.6102,43,42,0.104139043989192
"2",10000,0.00358057805780578,371,35.8022,39,36,0.0902316550484056
"3",10000,0.00325914591459146,256,32.5882,43,51,0.110995303544221
"4",10000,0.00371249124912491,324,37.1212,47,45,0.107451920581153
"5",10000,0.00386552655265527,359,38.6514,50,45,0.102961275549951
"6",10000,0.00370875087508751,371,37.0838,50,38,0.0975284802719697
"7",10000,0.00378527852785279,312,37.849,50,42,0.103655862168462
"8",10000,0.00401378137813781,430,40.1338,48,34,0.0812322036280501
"9",10000,0.00383682368236824,353,38.3644,48,34,0.0876950330985731
"10",10000,0.00363740374037404,343,36.3704,44,41,0.100087717252588
