"","V1","V2","V3","V4","V5"
"1",0.0245185233285456,0.0343169415447223,4.48091821759303e-13,0.000672167313627709,1
"2",0.0956489667289967,0.0542648495799982,3.70176958870452e-06,1.90604103960105e-05,1
"3",0.000930040385313335,3.67423810230482e-06,1.7141963735312e-06,0.609510745515893,1
"4",0.0355073816501245,4.05858651060255e-06,1.33681191875132e-05,0.50361182842348,1
"5",1.11590830171278e-11,0.465128242258026,0.000161384365298512,7.42209619513373e-05,1
"6",1.25806618170833e-06,0.00854451462304846,0.79015096727829,3.7102917468986e-09,1
"7",0.00130793983179653,0.477018083174513,0.149171298976904,1.80135726793551e-07,1
"8",2.0275569147993e-06,0.235106831667452,0.000609426633086141,0.007445468591917,1
"9",0.00124031103076426,0.00248717349458393,0.00443440739617354,0.0430202406358351,1
"10",0.000398665430717395,5.83676014276823e-11,0.00801377061006081,0.0437787046712754,1
"11",0.0568940774728346,0.0817332250129809,5.01365372710622e-13,0.000447104474836232,1.05
"12",0.0825157335511129,0.0504062433017951,3.70176958870452e-06,7.83862400953224e-05,1.05
"13",0.000682252631557024,3.20365864174838e-05,3.1407191795215e-09,0.501847643743167,1.05
"14",0.0302257840826235,2.46700906816151e-06,1.33681191875132e-05,0.578654050673048,1.05
"15",4.37551316827724e-11,0.485778794772305,0.000773018583448534,0.000246992394718303,1.05
"16",9.77572301856705e-07,0.00488290664632753,0.498927771781361,2.89418651595071e-09,1.05
"17",0.00291405076051533,0.328457425301324,0.126490240323877,1.80135726793551e-07,1.05
"18",1.28566429332825e-06,0.103110738551841,0.000272607248825234,0.007445468591917,1.05
"19",0.000678113629565516,0.000895970556699106,0.00112495627468971,0.101597043555106,1.05
"20",0.000527582482180574,3.62649494793969e-11,0.00912213364797172,0.064862272882484,1.05
"21",0.0725116231811258,0.0632423100490212,1.6475369900905e-12,4.08974615434728e-05,1.1
"22",0.0565273151917098,0.0304371139490948,5.92986389350381e-06,5.81037208906931e-05,1.1
"23",0.00100469926507778,2.08923423620719e-05,9.7950880839472e-09,0.66874408113749,1.1
"24",0.0530080654714922,4.68687387230124e-06,1.33681191875132e-05,0.444331346706084,1.1
