"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",3536,0.00772750836816067,164,27.316742081448,36,23,0.144197993996378
"2",3536,0.0091430555466665,196,32.3207013574661,44,27,0.127564872143318
"3",3536,0.00885697005382503,211,31.3093891402715,39,21,0.120849324547485
"4",3536,0.0089132911351898,198,31.5084841628959,44,33,0.100418279594078
"5",3536,0.00851296344889822,157,30.0933257918552,44,18,0.176338611061568
"6",3536,0.00799951359066094,173,28.2782805429864,42,18,0.133702236173119
"7",3536,0.00733102075559851,150,25.9151583710407,43,16,0.173091882845439
"8",3536,0.00784015053089019,166,27.7149321266968,41,38,0.147500605040526
"9",3536,0.00778078939115631,158,27.5050904977376,40,20,0.15581120375186
"10",3536,0.0086737665363175,170,30.6617647058824,41,27,0.171747769209913
