"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",3536,0.0110688525219684,209,39.1283936651584,62,27,0.177669090720222
"2",3536,0.0129061677984217,231,45.6233031674208,73,21,0.171699468397108
"3",3536,0.0135106594046606,241,47.7601809954751,78,25,0.174936150386915
"4",3536,0.0126805634668186,241,44.8257918552036,74,21,0.162122777147008
"5",3536,0.0139772283627846,264,49.4095022624434,81,22,0.166370163045458
"6",3536,0.0120954322322989,222,42.7573529411765,68,22,0.168944932841371
"7",3536,0.0110752526448508,205,39.1510180995475,68,18,0.168216181055691
"8",3536,0.0142348333087995,267,50.3201357466063,87,25,0.161715582221688
"9",3536,0.0136252216042548,249,48.1651583710407,80,19,0.170378516208721
"10",3536,0.0123467970585035,243,43.64592760181,77,19,0.169335768871707
