"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",10000,0.00637751775177518,495,63.7688,45,32,0.10701772195101
"2",10000,0.00582174217421742,460,58.2116,36,38,0.122826798966388
"3",10000,0.00591411141114111,431,59.1352,52,42,0.126809268065377
"4",10000,0.00599477947794779,450,59.9418,43,33,0.123115579902617
"5",10000,0.00585968596859686,467,58.591,35,45,0.116012167342829
"6",10000,0.00553945394539454,424,55.389,46,32,0.119805410112157
"7",10000,0.00532205220522052,418,53.2152,45,42,0.127769314420639
"8",10000,0.00603812381238124,453,60.3752,47,36,0.119584050753549
"9",10000,0.00561968196819682,450,56.1912,44,50,0.11666416246483
"10",10000,0.00608726872687269,517,60.8666,41,43,0.110681940830311
