"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",20000,0.00440632531626581,781,88.1221,59,NA,0.107099979704551
"2",20000,0.00444512225611281,786,88.898,57,NA,0.108146811939452
"3",20000,0.00419043452172609,744,83.8045,61,NA,0.107379932784281
"4",20000,0.00411954097704885,770,82.3867,46,NA,0.105418661925108
"5",20000,0.0044076803840192,753,88.1492,63,NA,0.0974848025748325
"6",20000,0.00412151607580379,726,82.4262,55,NA,0.111142716689572
"7",20000,0.00408280414020701,733,81.652,51,NA,0.10791700344475
"8",20000,0.00410259012950648,728,82.0477,56,NA,0.106491235218094
"9",20000,0.00452295114755738,777,90.4545,67,NA,0.108378828631993
"10",20000,0.00426041302065103,715,85.204,63,NA,0.111221342926023
