"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",3536,0.0167113608581285,272,59.0746606334842,88,22,0.198214096321393
"2",3536,0.0149719674617753,234,52.9259049773756,79,18,0.198120068630617
"3",3536,0.0176177782613426,278,62.2788461538462,94,23,0.196624854931024
"4",3536,0.0184806748289567,304,65.329185520362,89,34,0.178220683750899
"5",3536,0.0183483522883639,270,64.8614253393665,89,22,0.210632319399436
"6",3536,0.0161359898110044,259,57.0407239819005,82,20,0.212976259438946
"7",3536,0.0161262296236088,271,57.006221719457,89,32,0.1798454119508
"8",3536,0.016338393697159,235,57.756221719457,89,28,0.233581323971598
"9",3536,0.0185609963711303,272,65.6131221719457,101,32,0.22958070859117
"10",3536,0.018272510832208,265,64.5933257918552,98,25,0.220678134182818
