"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",3536,0.0183416321593375,276,64.8376696832579,88,23
"2",3536,0.0170204867933464,256,60.1674208144796,91,26
"3",3536,0.0167467215370535,246,59.1996606334842,89,22
"4",3536,0.0178280222980281,276,63.0220588235294,90,27
"5",3536,0.0180357062855607,269,63.756221719457,98,22
"6",3536,0.0186449979839613,286,65.9100678733032,97,20
"7",3536,0.0183027514128271,282,64.7002262443439,93,21
"8",3536,0.0174680153858954,249,61.7494343891403,100,23
"9",3536,0.0162937528400545,250,57.5984162895928,91,20
"10",3536,0.018402753332864,283,65.0537330316742,97,35
