"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",5000,0.00861724344868974,234,43.0776,49,28,0.180273525145618
"2",5000,0.0084870574114823,248,42.4268,45,40,0.135767755784322
"3",5000,0.00900812162432487,262,45.0316,50,36,0.16082500505223
"4",5000,0.00818475695139028,245,40.9156,49,33,0.144826638309391
"5",5000,0.00833630726145229,223,41.6732,50,22,0.155856700393177
"6",5000,0.00937307461492298,245,46.856,55,30,0.183572579925795
"7",5000,0.00812802560512102,217,40.632,49,31,0.158759494488727
"8",5000,0.00817163432686537,224,40.85,47,27,0.170745921651601
"9",5000,0.0089505901180236,254,44.744,56,20,0.151686807546678
"10",5000,0.00874062812562513,259,43.6944,56,26,0.142057659985178
