"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",5000,0.0101915583116623,292,50.9476,56,31,0.156834169153869
"2",5000,0.00950206041208242,284,47.5008,55,26,0.139432568384572
"3",5000,0.00942356471294259,313,47.1084,48,25,0.140048414313866
"4",5000,0.00870318063612723,254,43.5072,44,35,0.137799491134405
"5",5000,0.00959055811162232,271,47.9432,47,24,0.168776231705933
"6",5000,0.00815899179835967,257,40.7868,42,23,0.152010888453775
"7",5000,0.0095244648929786,286,47.6128,51,45,0.14104199715705
"8",5000,0.00910582116423285,278,45.52,53,23,0.156641721568393
"9",5000,0.0100892978595719,290,50.4364,51,27,0.157804312622762
"10",5000,0.0104924984996999,318,52.452,54,49,0.145574142798071
