"","V1","V2","V3","V4"
"1",-0.0153106563316116,0.256952091264461,0.447261460658998,0.570641193771097
"2",0.0788898664306927,0.527842241357095,-0.113307494714712,0.607887571370608
"3",0.59137044244099,0.725845147883201,0.646112520383815,0.524910693804668
"4",0.47220438772924,0.879601764668891,0.634636657402992,0.517168763295398
"5",0.747478215974415,-0.887154325767547,0.637400392321304,0.600760038340378
"6",0.517556886376841,-0.566205685251489,0.286464052318453,0.53525533935088
"7",0.781706961634682,-0.75418251246543,0.272947960601895,0.554411802287849
"8",-0.283414936545765,0.689325712460782,0.556826267600496,0.338116226190745
"9",-1.3869434877215,0.684501491641263,0.381813873416197,0.673226794630523
"10",1.05084155809972,0.599353441259541,0.772445709550154,0.695441569203907
