"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",3536,0.0127213642501936,227,44.9700226244344,97,33
"2",3536,0.0110690125250405,191,39.1289592760181,76,22
"3",3536,0.0119283890250693,221,42.1668552036199,79,36
"4",3536,0.0122800757774549,223,43.4100678733032,80,24
"5",3536,0.0107973273086843,198,38.1685520361991,65,21
"6",3536,0.0113448578212702,216,40.10407239819,77,27
"7",3536,0.0105262821046164,192,37.210407239819,59,26
"8",3536,0.0112485359718907,191,39.7635746606335,77,19
"9",3536,0.0111318937323597,196,39.3512443438914,73,27
"10",3536,0.0112958968812201,205,39.9309954751131,66,19
