"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",3536,0.00985394919582456,206,34.8337104072398,66,23,0.132963091107232
"2",3536,0.0104115599019501,201,36.8048642533937,63,26,0.173883107785439
"3",3536,0.0102955576747074,220,36.3947963800905,57,34,0.161541142559571
"4",3536,0.011897668435234,249,42.058257918552,70,26,0.140057645308158
"5",3536,0.00990851024339667,206,35.0265837104072,68,21,0.164992564644457
"6",3536,0.0102966776962118,227,36.3987556561086,63,20,0.140016931705886
"7",3536,0.010386759425781,205,36.7171945701357,65,20,0.165507521334054
"8",3536,0.0121453531907813,248,42.9338235294118,81,28,0.168562767941788
"9",3536,0.0103355584427221,181,36.5361990950226,70,19,0.178405193421352
"10",3536,0.0118863082171178,208,42.0180995475113,73,21,0.179463869314935
