"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",20000,0.0062698384919246,850,125.3905,59,NA,0.136628192529269
"2",20000,0.00618292414620731,831,123.6523,61,NA,0.139957672250107
"3",20000,0.00630806540327016,828,126.155,57,NA,0.145513260135589
"4",20000,0.00617786389319466,830,123.5511,54,NA,0.136180288857671
"5",20000,0.00632280614030702,923,126.4498,57,NA,0.122403064832013
"6",20000,0.00639686984349217,875,127.931,62,NA,0.136123738612355
"7",20000,0.0060937596879844,809,121.8691,59,NA,0.141400689883275
"8",20000,0.0062874393719686,817,125.7425,67,NA,0.144778618091423
"9",20000,0.00651189559477974,855,130.2314,59,NA,0.144974015354129
"10",20000,0.00622943647182359,844,124.5825,54,NA,0.139298628607281
