"","V1","V2","V3","V4","V5"
"1",1.67467594275093,1.01318513322835,-1.39178914168415,-5.56520466773401,1
"2",1.88362435006438,0.422622970425672,-0.0820725530850401,-0.371576821341346,1
"3",0.172483077607088,-0.0520513946727813,-0.00259111835395477,-1.52190890157706,1
"4",0.449695632139031,-0.0178431110664504,-1.08234171664459,-1.49475046897313,1
"5",-0.526888627488626,0.100920797024303,-1.24841060692918,-0.282347381055766,1
"6",Inf,-2.34960260017558,-0.0232883858049475,-2.07797463935019,1
"7",-2.48750667108752,Inf,-0.485224147386645,-1.61747328959073,1
"8",0.988208033603114,1.20645276662409,-0.413280141611078,-1.53060345911728,1
"9",1.36913723340541,-9.61473440408269,-1.42384032520942,-4.15763884301635,1
"10",Inf,0.844549886758071,-1.4969748641144,-0.287536625951355,1
"11",1.67467594275093,0.907734277152751,-1.1703023831113,-5.63741378340848,1.05
"12",1.88362435006438,0.355614693810928,-0.151547892543641,-0.371576945664423,1.05
"13",0.170858834710445,-0.220132354503767,-0.107983325027324,-1.55604370952587,1.05
"14",0.31326015713221,-0.0826310239642561,-1.08234171664459,-1.40457585263444,1.05
"15",-0.526888627488626,0.100920797024303,-1.50817115283836,-0.282347381055766,1.05
"16",Inf,-2.34960260017558,-0.0232883858049475,-1.95639194319932,1.05
"17",-2.67769484189933,Inf,-0.485224147386645,-1.61330869886273,1.05
"18",0.250611680467024,1.20645276662409,-0.44638252466404,-1.3694010707133,1.05
"19",1.33698689741983,Inf,-1.21358992982727,-4.15763884301635,1.05
"20",Inf,0.732333731712949,-1.49697484670226,-0.280509423730228,1.05
"21",1.65345279250196,0.881944475007994,-1.24014817560712,-5.63741378340848,1.1
"22",1.90083225115419,0.355614693810928,-0.151547892543641,-0.364097513826502,1.1
"23",0.170858834710445,-0.303526120915936,-0.107983325027324,-1.52190890157706,1.1
"24",0.176824682125388,-0.0178431110664504,-1.14862410922102,-1.28998778257012,1.1
"25",-0.44436339677259,0.100920797024303,-1.7716997465336,-0.253163072958886,1.1
"26",Inf,-2.00298523197221,-0.0232883858049475,-1.95639194319932,1.1
"27",-2.7857840957423,Inf,-0.482894481733304,-1.6235395363847,1.1
"28",-5.15570877929627,1.20877401106305,-0.484358261992761,-1.31527501491978,1.1
"29",1.33698689741983,Inf,-1.42384032520942,-4.0197073399394,1.1
"30",Inf,0.668228609858352,-1.49697482929012,-0.297319517753813,1.1
"31",1.51519258388975,0.907734277152751,-1.24014817560712,-5.63741378340848,1.15
"32",1.79843406680165,0.355614693810928,-0.0799165632157052,-0.364097513826502,1.15
"33",0.169234591813802,-0.411293048608498,-0.139888642519656,-1.55604370952587,1.15
"34",0.31326015713221,0.101248611670305,-1.08234171664459,-1.22403947203209,1.15
