"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",10000,0.00597331733173317,475,59.7272,38,36
"2",10000,0.00556995699569957,457,55.694,37,42
"3",10000,0.00628174817481748,457,62.8112,53,40
"4",10000,0.00508288828882888,416,50.8238,35,55
"5",10000,0.00542742274227423,389,54.2688,45,37
"6",10000,0.00533647364736474,442,53.3594,37,46
"7",10000,0.00585716571657166,457,58.5658,35,38
"8",10000,0.00543628362836284,422,54.3574,39,52
"9",10000,0.00616163616361636,456,61.6102,42,38
"10",10000,0.00572049204920492,397,57.1992,38,39
