"","V1","V2","V3","V4","V5","V6"
"1",0.176294717733846,0.154933926747149,0.0423505917381645,0.117401822228779,0.272843038431041,0.0945207967049554
"2",0.275393211100791,0.34827901378687,0.147405796707015,0.333678460280326,0.25162043353218,0.229455088051511
"3",0.529904912524405,0.159398330000825,0.0550904027307278,0.25027705610614,0.340476082668874,0.280856843074166
"4",0.266501122231952,0.252894022559035,0.193865748865348,0.0576252099396429,0.186773021208596,0.199647108273338
"5",0.17719528217969,0.117963071470788,1.37875808083721,0.157308214511777,0.270932691022274,0.300662521962677
"6",0.124975164169807,0.235087518638167,0.11904628795175,0.201467878158323,0.190765956425252,0.175964756462937
"7",0.286801029371018,0.113328197304235,0.219711919671935,0.115964988169394,0.184361102097623,0.201543263632456
"8",0.217521686555744,0.317641693355395,0.0936174201795086,0.210953403773959,0.110934604976243,0.168759904655083
"9",0.253914264859645,0.208734200018865,0.280691270734024,0.175009649037761,0.345025153100432,0.205523827150751
"10",0.203430794929386,0.313186315893837,0.064187825009385,0.12937059768238,0.0681450470362702,0.159550098530156
"11",0.151618977870006,0.234158683968542,0.210120437165598,0.267301481819717,0.0361832694869858,0.222391177283017
"12",0.238326116910756,0.381363663673189,0.22236072441096,0.221423006432093,0.25921043106498,0.156865225519417
"13",0.316241073769628,0.0195556639507365,0.0925297143518041,0.228334147050597,0.142711815937773,0.176950652634256
"14",0.240739085077879,0.21054079475788,0.114236092334178,0.243104266096528,0.342483056468775,0.0029173963787098
"15",0.323690947554303,0.120968963662952,0.289548580794299,0.216682090515276,0.157978332899155,0.220821292748626
"16",0.450495999546384,0.214022812310559,0.388603217177739,0.0570512405328329,0.187682691591238,0.130281751088493
"17",0.109539383814114,0.244942532305277,0.291801361321893,0.133931140416599,0.0942847398254636,0.266516432836374
"18",0.204229874050366,0.00225626462523509,0.094756779925117,0.0342432225876066,0.273854313658229,0.312666882013205
"19",0.0674800000713885,0.0328305363602234,0.14767162259661,0.239659489406179,0.263075387112152,0.235689289585805
"20",0.35874712211786,0.0937476386228882,0.221293776932023,0.0861070770613441,0.207214357262133,0.200440976574665
"21",0.168597277379611,0.254697142158951,0.0323600375428283,0.0579448797251456,0.362218043156563,0.171886792349877
