"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",3536,0.0250212804085838,364,88.4502262443439,106,22
"2",3536,0.0238532579825533,329,84.3212669683258,105,24
"3",3536,0.0242009446581374,341,85.5503393665158,105,21
"4",3536,0.0230804431445084,329,81.5893665158371,100,18
"5",3536,0.0242843062586802,349,85.8450226244344,115,29
"6",3536,0.0235826927877015,324,83.3648190045249,100,17
"7",3536,0.0250712013670662,345,88.6266968325792,113,22
"8",3536,0.0256345721837859,375,90.6182126696833,109,28
"9",3536,0.0234706906372602,333,82.9688914027149,99,19
"10",3536,0.0238017369933503,328,84.1391402714932,108,17
