"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",3536,0.0253889674681754,371,89.75,104,26
"2",3536,0.0250233604485206,365,88.4575791855204,105,18
"3",3536,0.0226796354490006,328,80.1725113122172,106,27
"4",3536,0.0251377626450428,361,88.8619909502262,106,26
"5",3536,0.024867197450191,339,87.9055429864253,109,25
"6",3536,0.0259851389146672,362,91.8574660633484,114,26
"7",3536,0.0248831977573969,377,87.9621040723982,107,26
"8",3536,0.0257880151298905,343,91.1606334841629,116,22
"9",3536,0.0266859523702855,370,94.3348416289593,105,28
"10",3536,0.0260041792802422,410,91.9247737556561,117,29
