"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",5000,0.00961344268853771,284,48.0576,53,23
"2",5000,0.00822284456891378,266,41.106,42,27
"3",5000,0.00922976595319064,276,46.1396,42,34
"4",5000,0.00982660532106421,299,49.1232,53,25
"5",5000,0.00803512702540508,244,40.1676,50,22
"6",5000,0.0104440088017604,309,52.2096,65,40
"7",5000,0.00909821964392879,290,45.482,45,27
"8",5000,0.00872566513302661,276,43.6196,38,37
"9",5000,0.0089379475895179,285,44.6808,46,31
"10",5000,0.00924632926585317,256,46.2224,44,32
