"","V1","V2","V3","V4","V5"
"1",1.77438089562809e-05,3.29938374919275e-09,5.79218910613677e-05,0.555377062482517,1
"2",9.62158518882199e-08,8.06901720244901e-07,0.000701920168360407,6.7169915546206e-08,1
"3",0.000340898832428092,9.13197619985237e-16,2.22647940850103e-06,4.65676747886883e-09,1
"4",0.049883220054353,2.53182329345721e-17,0.000707215865418298,0.646526229583885,1
"5",0.0290882736204259,1.78907206000679e-17,0.00393466499123799,1.55828710241599e-06,1
"6",2.50907978412892e-12,4.59930298311002e-08,0.025876287788255,4.56375275214923e-06,1
"7",2.51774593581205e-09,3.94455810375127e-05,0.00127475250969842,3.20893235650139e-11,1
"8",1.17233131084107e-10,1.91308772073373e-19,1.85753591572546e-14,3.53784874742897e-08,1
"9",1.51639667604859e-25,3.11244314077483e-15,7.66856133354827e-07,0.000751399637312121,1
"10",1.004358697331e-11,2.22604648532172e-23,0.00847270379496249,1.2661541671212e-08,1
"11",4.63177709384914e-05,3.12299519402706e-08,2.80032388810435e-05,0.34520725127589,1.05
"12",1.81673963916139e-08,1.15213494670772e-06,6.60876938158989e-05,2.49410346504086e-05,1.05
"13",0.000683168040144815,1.17511733218469e-14,2.09935352287438e-05,2.18634014088591e-09,1.05
"14",0.0740590453023844,3.05268614673894e-15,0.0138095759892176,0.367698023248135,1.05
"15",1.33747206572454e-05,1.78907206000679e-17,0.00661802220545101,2.54650386565292e-06,1.05
"16",1.22977974126175e-11,1.543800482207e-07,0.0280337296699545,3.70906070726827e-06,1.05
"17",2.18389465462757e-09,1.19677765427862e-06,0.000158549693504967,4.00832610186487e-11,1.05
"18",2.11334762137274e-10,3.6350864361952e-19,1.22449264039952e-12,3.94876084117716e-07,1.05
"19",9.03007298761523e-24,1.16070712958752e-15,1.06433139084979e-06,0.000659892123639093,1.05
"20",1.18194786437053e-10,3.05768964954154e-20,0.00575570884938857,7.52403904993e-09,1.05
"21",3.74652391497025e-05,3.22088279853686e-06,6.37157280109945e-07,0.327500265801538,1.1
"22",3.55362776651686e-07,1.12242619316291e-05,0.000110881376320106,3.58732346773753e-05,1.1
"23",0.000474158386058421,2.13884228467871e-08,2.54483900572076e-05,1.22749306150215e-08,1.1
"24",0.0544397006675254,2.20785096152419e-14,0.0239573071455552,0.238528580560181,1.1
"25",0.852665081445415,1.37548225760859e-15,0.231846784876173,9.57494138918014e-06,1.1
"26",1.81712377616321e-11,3.20394169323583e-07,0.0076028542109609,1.4557166541486e-05,1.1
"27",2.81668985289279e-09,3.32786532570003e-06,0.000164544492687161,5.88818573683874e-11,1.1
"28",1.68586996816727e-10,3.6737589259673e-19,2.28195861854656e-13,6.86274426534971e-07,1.1
"29",1.00854626723694e-22,4.37370415234333e-10,3.86425258554854e-07,0.00151396589294056,1.1
"30",6.11667982716209e-11,9.14616265941461e-10,0.00270903051820739,2.2835249484771e-08,1.1
"31",0.000115348068929598,2.91483877647102e-08,1.75758824956425e-05,0.560519516514879,1.15
"32",6.17809099846815e-07,3.22009628790691e-07,5.72851368922746e-05,0.00389513801862718,1.15
"33",0.000262692586912219,4.97983188651741e-11,2.7798540633357e-05,3.73770186963218e-08,1.15
"34",0.0899256628207837,1.97510848271719e-14,0.0186663415814784,0.159621996429327,1.15
"35",0.681852372556653,4.8396001735995e-14,0.620634197791154,2.01525080454854e-06,1.15
"36",6.9647260727159e-11,5.34322491693972e-07,0.00107916094424998,3.37050018405518e-05,1.15
"37",6.19202145124692e-08,7.07068607209748e-06,5.13073014433599e-05,1.47225506470507e-10,1.15
"38",4.69664302688621e-11,3.96187837176681e-16,9.25149379309653e-15,9.66763919707811e-07,1.15
"39",1.10962149289507e-19,2.39906696518116e-08,2.74653356468674e-06,0.000308961884226231,1.15
"40",2.18702436658351e-10,1.6620769174038e-08,0.00318918686969712,3.71229465245271e-06,1.15
"41",0.00192597495251048,5.89706577598479e-07,2.19812433826503e-05,0.609240974656457,1.2
"42",5.01523053615102e-06,2.44447329712974e-08,4.58910238058828e-05,0.0672804061198616,1.2
"43",0.000371510971110754,7.79837886997388e-10,8.6343708730478e-06,4.75221358579608e-08,1.2
"44",0.0309235857828957,1.53350254797406e-11,0.0340627790918474,0.163338024954107,1.2
