"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",3536,0.0122378349664314,238,43.2607466063348,74,18
"2",3536,0.0126695232548465,230,44.7867647058824,68,30
"3",3536,0.0128936875588011,249,45.579185520362,71,21
"4",3536,0.0135034592664179,245,47.7347285067873,78,25
"5",3536,0.0119019885181795,244,42.0735294117647,64,19
"6",3536,0.0117178249822397,220,41.4225113122172,65,20
"7",3536,0.012266635519402,236,43.362556561086,71,20
"8",3536,0.0130815311653984,236,46.2432126696833,75,39
"9",3536,0.0111413339136111,203,39.3846153846154,64,18
"10",3536,0.010788367136649,217,38.1368778280543,64,33
