"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",3536,0.0192624498390369,300,68.0927601809955,104,32
"2",3536,0.0172686515581099,253,61.0446832579185,86,18
"3",3536,0.0176728193181309,302,62.4734162895928,96,25
"4",3536,0.0175702573489411,270,62.1108597285068,89,33
"5",3536,0.0175262565041249,273,61.9553167420815,92,21
"6",3536,0.0162587121672736,269,57.4745475113122,87,21
"7",3536,0.015424296146486,238,54.5248868778281,79,18
"8",3536,0.0183933131516125,306,65.0203619909502,85,29
"9",3536,0.0164100750734414,250,58.0096153846154,79,20
"10",3536,0.018511395418792,271,65.4377828054299,92,26
