"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",3536,0.0177513808265119,302,62.7511312217195,94,30
"2",3536,0.0164463957707988,251,58.1380090497738,84,25
"3",3536,0.0166699200624652,275,58.9281674208145,83,20
"4",3536,0.0193131708128796,305,68.2720588235294,102,27
"5",3536,0.0183573124603992,280,64.8930995475113,90,18
"6",3536,0.0181400282885431,256,64.125,98,19
"7",3536,0.0182110696525373,293,64.3761312217195,94,21
"8",3536,0.0163387137033031,258,57.7573529411765,98,22
"9",3536,0.0177729812412398,277,62.8274886877828,93,26
"10",3536,0.0178145820399752,291,62.9745475113122,95,24
