"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",5000,0.0129769953990798,314,64.872,63,30
"2",5000,0.0130720544108822,354,65.3472,58,25
"3",5000,0.0132242448489698,347,66.108,60,23
"4",5000,0.0129465893178636,337,64.72,54,25
"5",5000,0.0131567113422685,361,65.7704,61,35
"6",5000,0.0120776155231046,308,60.376,56,30
"7",5000,0.0123451090218044,316,61.7132,53,27
"8",5000,0.0124074414882977,307,62.0248,47,32
"9",5000,0.012522024404881,328,62.5976,59,34
"10",5000,0.0133744348869774,356,66.8588,59,26
