"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",3536,0.01319977343565,232,46.6611990950226,76,22,0.183999184377853
"2",3536,0.011564062029991,222,40.8789592760181,73,25,0.157481850779024
"3",3536,0.0113707783189437,197,40.1957013574661,76,21,0.173670635068537
"4",3536,0.0124690394055566,198,44.0780542986425,87,27,0.197278000280899
"5",3536,0.0125551210583243,246,44.3823529411765,82,28,0.147452822883993
"6",3536,0.0106530045376871,181,37.658371040724,73,21,0.185604504407832
"7",3536,0.0126476028339744,252,44.7092760180995,84,29,0.140182174434968
"8",3536,0.0103878794472854,188,36.7211538461538,78,19,0.178778389003666
"9",3536,0.0110024512470639,196,38.893665158371,68,22,0.170355353783929
"10",3536,0.0124088782504624,191,43.8653846153846,88,27,0.180320372305398
