"","V1","V2"
"1",-35.0888035562836,NA
"2",-16.3760746330587,NA
"3",1040.75890406724,NA
"4",2979.55815554034,NA
"5",0.892518645411444,NA
"6",-2.56616862900765,NA
"7",-52.9667702458121,NA
"8",4337.61900778179,NA
"9",3.09331799062649,NA
"10",-20.116706175375,NA
"11",-14.3470258157926,NA
"12",-11.3541586391485,NA
"13",-199.486571467572,NA
"14",29.2104355599508,NA
"15",-88.998450513168,NA
"16",-8.44802990680717,NA
"17",-93.9744312441894,NA
"18",851.022618493866,NA
"19",2.89177482089365,NA
"20",-35.720960639627,NA
"21",-5.73403689822733,NA
"22",-15.4084886206835,NA
"23",-17.583931490006,NA
"24",2.2684321294453,NA
"25",318.261700735803,NA
"26",884.825568157077,NA
"27",-12.5860267764764,NA
"28",17.887480823594,NA
"29",20.8880983266755,NA
"30",-76.9435348376361,NA
"31",-38.5801187644361,NA
"32",25.1551470894496,NA
"33",559.405002729316,NA
"34",-180.509408067633,NA
"35",1029.18796158244,NA
"36",-84.3112481948514,NA
"37",-63.6284483316218,NA
"38",-58.360310572492,NA
"39",-10.6722673697518,NA
"40",425.435621943259,NA
"41",-5.92884607219592,NA
"42",5.80075980630951,NA
"43",-53.2727437221043,NA
"44",-47.17931490517,NA
"45",10.8861003989196,NA
"46",-291.135408855666,NA
"47",376.070014260489,NA
"48",1652.27655506896,NA
"49",-13.1387983735921,NA
"50",-9.92777613817711,NA
"51",-22.554676765728,NA
"52",-162.781646671338,NA
"53",-119.53959932447,NA
"54",473.754206254522,NA
"55",-35.3536311942885,NA
"56",-4032.69685318169,NA
"57",-368.092449863862,NA
"58",1.05617928947161,NA
"59",-25.6740251506334,NA
"60",18.7883733001085,NA
"61",402.613937972208,NA
"62",-150.849012480881,NA
"63",-107.974166458782,NA
"64",-27.7436768892625,NA
"65",851.728194675035,NA
"66",4.41447045101638,NA
"67",-70.6975987966496,NA
"68",-309.883595740034,NA
"69",-12.3380419368651,NA
"70",-101.276619089929,NA
"71",22.0212439915777,NA
"72",7.52639494884902,NA
"73",-60.9601829170093,NA
"74",12.3864267848393,NA
"75",-54.4663621215654,NA
"76",4249.46677254625,NA
"77",-183.125015661804,NA
"78",-8.28566841934192,NA
"79",-553.283299516995,NA
"80",0.61458594187755,NA
"81",4.73629523097897,NA
"82",-65.6904382465715,NA
"83",2676.29845525848,NA
"84",36.7559511549923,NA
"85",1729.94539160726,NA
"86",19.6982582103273,NA
"87",1044.07751140137,NA
"88",29.9860829194234,NA
"89",864.671272962227,NA
"90",-220.63382828231,NA
"91",-84.3706367934557,NA
"92",-26.194621172024,NA
"93",-3.10977040899646,NA
"94",-388.934613588163,NA
"95",-86.0692256503427,NA
"96",19.9642693991788,NA
"97",-53.8771860790285,NA
"98",13259.4644237667,NA
"99",1329.18857599544,NA
"100",2.34445834783364,NA
