"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",3536,0.0152745332710388,334,53.9954751131222,69,22,0.147429057827376
"2",3536,0.0179209840828944,399,63.3506787330317,81,22,0.155455811383199
"3",3536,0.0171988902186922,369,60.7980769230769,80,21,0.148104542655139
"4",3536,0.0156098997100744,344,55.1809954751131,79,20,0.148561143689969
"5",3536,0.0161444699738235,325,57.0707013574661,90,24,0.16407614910354
"6",3536,0.0161449499830397,356,57.0723981900452,80,21,0.151238361226753
"7",3536,0.0145817199690234,322,51.5463800904977,68,31,0.152648577757688
"8",3536,0.0166385594603416,341,58.8173076923077,86,35,0.162965653594738
"9",3536,0.0179310642764341,367,63.3863122171946,76,25,0.167309301919134
"10",3536,0.0150098881898532,353,53.0599547511312,63,24,0.137146133422817
