"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",20000,0.00337533876693835,626,67.5034,58,NA
"2",20000,0.00353445672283614,710,70.6856,59,NA
"3",20000,0.00369329966498325,700,73.8623,59,NA
"4",20000,0.00336509325466273,681,67.2985,61,NA
"5",20000,0.00353747187359368,638,70.7459,58,NA
"6",20000,0.00359380469023451,697,71.8725,47,NA
"7",20000,0.00361541077053853,694,72.3046,49,NA
"8",20000,0.00392803140157008,761,78.5567,76,NA
"9",20000,0.00354992749637482,746,70.995,60,NA
"10",20000,0.00392586629331467,761,78.5134,70,NA
