"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size","Mean Degree Centrality"
"1",3536,0.0243529475765935,361,86.0876696832579,110,29,0.230189947418574
"2",3536,0.0254756891332314,366,90.0565610859728,113,20,0.233559613077414
"3",3536,0.0261000211204055,356,92.2635746606335,118,20,0.247788517424008
"4",3536,0.0221997862358957,328,78.4762443438914,93,24,0.231406994877507
"5",3536,0.026505468905003,367,93.6968325791855,113,22,0.248589446312119
"6",3536,0.0257724948319008,366,91.1057692307692,116,21,0.244133800775767
"7",3536,0.0253737671763298,357,89.6962669683258,101,22,0.244656969193864
"8",3536,0.0239394996383931,377,84.6261312217195,109,26,0.202466901921703
"9",3536,0.0244321490972627,337,86.3676470588235,95,24,0.251592874238795
"10",3536,0.0243430273861258,336,86.0526018099548,106,21,0.250855599922791
